Namespace,Pod Name,Status,Restart Count,Failure Reasons,Logs,Failure_Label
default,bad-image-pod,Pending,3,ContainersNotReady | ErrImagePull,"Error fetching logs: (400)
Reason: Bad Request
HTTP response headers: HTTPHeaderDict({'Audit-Id': 'cbb260ec-c0e4-4176-bdde-15fb136b4de8', 'Cache-Control': 'no-cache, private', 'Content-Type': 'application/json', 'Date': 'Mon, 17 Mar 2025 16:34:17 GMT', 'Content-Length': '214'})
HTTP response body: {""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""container \""invalid-container\"" in pod \""bad-image-pod\"" is waiting to start: image can't be pulled"",""reason"":""BadRequest"",""code"":400}


Additional debug info: Timeout detected.",1
default,crash-pod,Running,3,ContainersNotReady,"Crash Test
",0
default,failing-readiness-pod,Running,1,ContainersNotReady,"/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/03/17 16:32:28 [notice] 1#1: using the ""epoll"" event method
2025/03/17 16:32:28 [notice] 1#1: nginx/1.27.4
2025/03/17 16:32:28 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2025/03/17 16:32:28 [notice] 1#1: OS: Linux 6.12.5-linuxkit
Disk IO error encountered.",0
default,nginx-5869d7778c-pvpvn,Running,0,,"/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/03/17 16:29:49 [notice] 1#1: using the ""epoll"" event method
2025/03/17 16:29:49 [notice] 1#1: nginx/1.27.4
2025/03/17 16:29:49 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2025/03/17 16:29:49 [notice] 1#1: OS: Linux 6.12.5-linuxkit
Disk IO error encountered.",0
default,nginx-pod,Running,0,,"/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/03/17 16:30:06 [notice] 1#1: using the ""epoll"" event method
2025/03/17 16:30:06 [notice] 1#1: nginx/1.27.4
2025/03/17 16:30:06 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2025/03/17 16:30:06 [notice] 1#1: OS: Linux 6.12.5-linuxkit
Disk IO error encountered.",0
kube-system,coredns-668d6bf9bc-bml8n,Running,1,,"[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/ready: Still waiting on: ""kubernetes""
[INFO] plugin/ready: Still waiting on: ""kubernetes""
[INFO] plugin/ready: Still waiting on: ""kubernetes""
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[INFO] plugin/kubernetes: waiting for Kubernetes API before starting server
[WARNING] plugin/kubernetes: starting server with unsynced Kubernetes API
.:53
[INFO] plugin/reload: Running configuration SHA512 = e7e8a6c4578bf29b9f453cb54ade",0
kube-system,etcd-minikube,Running,0,,"{""level"":""warn"",""ts"":""2025-03-17T16:03:27.907458Z"",""caller"":""embed/config.go:689"",""msg"":""Running http and grpc server on single port. This is not recommended for production.""}
{""level"":""info"",""ts"":""2025-03-17T16:03:27.907802Z"",""caller"":""etcdmain/etcd.go:73"",""msg"":""Running: "",""args"":[""etcd"",""--advertise-client-urls=https://192.168.49.2:2379"",""--cert-file=/var/lib/minikube/certs/etcd/server.crt"",""--client-cert-auth=true"",""--data-dir=/var/lib/minikube/etcd"",""--experimental-initial-corrupt-check=true"",""--experimental-watch-progress-notify-interval=5s"",""--initial-advertise-peer-urls=https://192.168.49.2:2380"",""--initial-cluster=minikube=https://192.168.49.2:2380"",""--key-file=/var/lib/minikube/certs/etcd/server.key"",""--listen-client-urls=https://127.0.0.1:2379,https://192.168.49.2:2379"",""--listen-metrics-urls=http://127.0.0.1:2381"",""--listen-peer-urls=https://192.168.49.2:2380"",""--name=minikube"",""--peer-cert-file=/var/lib/minikube/certs/etcd/peer.crt"",""--peer-client-cert-auth=true"",""--peer-k",0
kube-system,kube-apiserver-minikube,Running,3,,"W0317 16:03:28.055482       1 registry.go:256] calling componentGlobalsRegistry.AddFlags more than once, the registry will be set by the latest flags
I0317 16:03:28.056235       1 options.go:238] external host was not specified, using 192.168.49.2
I0317 16:03:28.057680       1 server.go:143] Version: v1.32.0
I0317 16:03:28.057704       1 server.go:145] ""Golang settings"" GOGC="""" GOMAXPROCS="""" GOTRACEBACK=""""
I0317 16:03:28.243169       1 shared_informer.go:313] Waiting for caches to sync for node_authorizer
I0317 16:03:28.247667       1 shared_informer.go:313] Waiting for caches to sync for *generic.policySource[*k8s.io/api/admissionregistration/v1.ValidatingAdmissionPolicy,*k8s.io/api/admissionregistration/v1.ValidatingAdmissionPolicyBinding,k8s.io/apiserver/pkg/admission/plugin/policy/validating.Validator]
I0317 16:03:28.249716       1 plugins.go:157] Loaded 13 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,NodeRestri
Pod failed due to high memory consumption.",0
kube-system,kube-controller-manager-minikube,Running,4,,"I0317 16:03:28.428376       1 serving.go:386] Generated self-signed cert in-memory
I0317 16:03:28.591744       1 controllermanager.go:185] ""Starting"" version=""v1.32.0""
I0317 16:03:28.591757       1 controllermanager.go:187] ""Golang settings"" GOGC="""" GOMAXPROCS="""" GOTRACEBACK=""""
I0317 16:03:28.592773       1 secure_serving.go:213] Serving securely on 127.0.0.1:10257
I0317 16:03:28.594296       1 dynamic_cafile_content.go:161] ""Starting controller"" name=""request-header::/var/lib/minikube/certs/front-proxy-ca.crt""
I0317 16:03:28.594305       1 tlsconfig.go:243] ""Starting DynamicServingCertificateController""
I0317 16:03:28.594309       1 dynamic_cafile_content.go:161] ""Starting controller"" name=""client-ca-bundle::/var/lib/minikube/certs/ca.crt""
I0317 16:03:35.432795       1 controllermanager.go:765] ""Started controller"" controller=""serviceaccount-token-controller""
I0317 16:03:35.433534       1 shared_informer.go:313] Waiting for caches to sync for tokens
I0317 16:03:35.435043       1 contr
Additional debug info: Timeout detected.",0
kube-system,kube-proxy-2nh4w,Running,2,,"I0317 16:03:31.250010       1 server_linux.go:66] ""Using iptables proxy""
I0317 16:03:31.406139       1 server.go:698] ""Successfully retrieved node IP(s)"" IPs=[""192.168.49.2""]
E0317 16:03:31.406177       1 server.go:234] ""Kube-proxy configuration may be incomplete or incorrect"" err=""nodePortAddresses is unset; NodePort connections will be accepted on all local IPs. Consider using `--nodeport-addresses primary`""
I0317 16:03:31.419211       1 server.go:243] ""kube-proxy running in dual-stack mode"" primary ipFamily=""IPv4""
I0317 16:03:31.419236       1 server_linux.go:170] ""Using iptables Proxier""
I0317 16:03:31.420296       1 proxier.go:255] ""Setting route_localnet=1 to allow node-ports on localhost; to change this either disable iptables.localhostNodePorts (--iptables-localhost-nodeports) or set nodePortAddresses (--nodeport-addresses) to filter loopback addresses"" ipFamily=""IPv4""
I0317 16:03:31.421304       1 server.go:497] ""Version info"" version=""v1.32.0""
I0317 16:03:31.421317       1 se
Pod failed due to high memory consumption.",0
